job_id,title,company,location,salary_min,salary_max,description,posted_date
J001,Junior Data Analyst,Flipkart,Noida,450000,700000,Python SQL Excel Power BI dashboard reporting statistics required for Flipkart analytics team in Noida.,2026-01-01
J002,Associate ML Engineer,Meesho,Gurugram,840000,1140000,Python Machine Learning NLP SQL model deployment scikit-learn required for Meesho analytics team in Gurugram.,2026-01-02
J003,Intern BI Developer,Nykaa,Bengaluru,680000,1030000,Power BI DAX SQL Tableau data modeling dashboard required for Nykaa analytics team in Bengaluru.,2026-01-03
J004,Entry Level AI Analyst,Zomato,Hyderabad,820000,1070000,Python NLP Machine Learning SQL automation analytics required for Zomato analytics team in Hyderabad.,2026-01-04
J005,Junior Business Analyst,Swiggy,Mumbai,660000,960000,Excel SQL Tableau Power BI stakeholder reporting required for Swiggy analytics team in Mumbai.,2026-01-05
J006,Associate Data Scientist,Paytm,Delhi,850000,1200000,Python SQL Machine Learning NLP statistics forecasting required for Paytm analytics team in Delhi.,2026-01-06
J007,Intern Data Analyst,InMobi,Noida,490000,740000,Python SQL Excel Power BI dashboard reporting statistics required for InMobi analytics team in Noida.,2026-01-07
J008,Entry Level ML Engineer,Infosys,Gurugram,880000,1180000,Python Machine Learning NLP SQL model deployment scikit-learn required for Infosys analytics team in Gurugram.,2026-01-08
J009,Junior BI Developer,Wipro,Bengaluru,720000,1070000,Power BI DAX SQL Tableau data modeling dashboard required for Wipro analytics team in Bengaluru.,2026-01-09
J010,Associate AI Analyst,Flipkart,Hyderabad,860000,1110000,Python NLP Machine Learning SQL automation analytics required for Flipkart analytics team in Hyderabad.,2026-01-10
J011,Intern Business Analyst,Meesho,Mumbai,500000,800000,Excel SQL Tableau Power BI stakeholder reporting required for Meesho analytics team in Mumbai.,2026-01-11
J012,Entry Level Data Scientist,Nykaa,Delhi,890000,1240000,Python SQL Machine Learning NLP statistics forecasting required for Nykaa analytics team in Delhi.,2026-01-12
J013,Junior Data Analyst,Zomato,Noida,530000,780000,Python SQL Excel Power BI dashboard reporting statistics required for Zomato analytics team in Noida.,2026-01-13
J014,Associate ML Engineer,Swiggy,Gurugram,920000,1220000,Python Machine Learning NLP SQL model deployment scikit-learn required for Swiggy analytics team in Gurugram.,2026-01-14
J015,Intern BI Developer,Paytm,Bengaluru,760000,1110000,Power BI DAX SQL Tableau data modeling dashboard required for Paytm analytics team in Bengaluru.,2026-01-15
J016,Entry Level AI Analyst,InMobi,Hyderabad,700000,950000,Python NLP Machine Learning SQL automation analytics required for InMobi analytics team in Hyderabad.,2026-01-16
J017,Junior Business Analyst,Infosys,Mumbai,540000,840000,Excel SQL Tableau Power BI stakeholder reporting required for Infosys analytics team in Mumbai.,2026-01-17
J018,Associate Data Scientist,Wipro,Delhi,930000,1280000,Python SQL Machine Learning NLP statistics forecasting required for Wipro analytics team in Delhi.,2026-01-18
J019,Intern Data Analyst,Flipkart,Noida,570000,820000,Python SQL Excel Power BI dashboard reporting statistics required for Flipkart analytics team in Noida.,2026-01-19
J020,Entry Level ML Engineer,Meesho,Gurugram,960000,1260000,Python Machine Learning NLP SQL model deployment scikit-learn required for Meesho analytics team in Gurugram.,2026-01-20
J021,Junior BI Developer,Nykaa,Bengaluru,600000,950000,Power BI DAX SQL Tableau data modeling dashboard required for Nykaa analytics team in Bengaluru.,2026-01-21
J022,Associate AI Analyst,Zomato,Hyderabad,740000,990000,Python NLP Machine Learning SQL automation analytics required for Zomato analytics team in Hyderabad.,2026-01-22
J023,Intern Business Analyst,Swiggy,Mumbai,580000,880000,Excel SQL Tableau Power BI stakeholder reporting required for Swiggy analytics team in Mumbai.,2026-01-23
J024,Entry Level Data Scientist,Paytm,Delhi,970000,1320000,Python SQL Machine Learning NLP statistics forecasting required for Paytm analytics team in Delhi.,2026-01-24
J025,Junior Data Analyst,InMobi,Noida,610000,860000,Python SQL Excel Power BI dashboard reporting statistics required for InMobi analytics team in Noida.,2026-01-25
J026,Associate ML Engineer,Infosys,Gurugram,800000,1100000,Python Machine Learning NLP SQL model deployment scikit-learn required for Infosys analytics team in Gurugram.,2026-01-26
J027,Intern BI Developer,Wipro,Bengaluru,640000,990000,Power BI DAX SQL Tableau data modeling dashboard required for Wipro analytics team in Bengaluru.,2026-01-27
J028,Entry Level AI Analyst,Flipkart,Hyderabad,780000,1030000,Python NLP Machine Learning SQL automation analytics required for Flipkart analytics team in Hyderabad.,2026-01-28
J029,Junior Business Analyst,Meesho,Mumbai,620000,920000,Excel SQL Tableau Power BI stakeholder reporting required for Meesho analytics team in Mumbai.,2026-01-29
J030,Associate Data Scientist,Nykaa,Delhi,1010000,1360000,Python SQL Machine Learning NLP statistics forecasting required for Nykaa analytics team in Delhi.,2026-01-30
J031,Intern Data Analyst,Zomato,Noida,450000,700000,Python SQL Excel Power BI dashboard reporting statistics required for Zomato analytics team in Noida.,2026-01-31
J032,Entry Level ML Engineer,Swiggy,Gurugram,840000,1140000,Python Machine Learning NLP SQL model deployment scikit-learn required for Swiggy analytics team in Gurugram.,2026-02-01
J033,Junior BI Developer,Paytm,Bengaluru,680000,1030000,Power BI DAX SQL Tableau data modeling dashboard required for Paytm analytics team in Bengaluru.,2026-02-02
J034,Associate AI Analyst,InMobi,Hyderabad,820000,1070000,Python NLP Machine Learning SQL automation analytics required for InMobi analytics team in Hyderabad.,2026-02-03
J035,Intern Business Analyst,Infosys,Mumbai,660000,960000,Excel SQL Tableau Power BI stakeholder reporting required for Infosys analytics team in Mumbai.,2026-02-04
J036,Entry Level Data Scientist,Wipro,Delhi,850000,1200000,Python SQL Machine Learning NLP statistics forecasting required for Wipro analytics team in Delhi.,2026-02-05
J037,Junior Data Analyst,Flipkart,Noida,490000,740000,Python SQL Excel Power BI dashboard reporting statistics required for Flipkart analytics team in Noida.,2026-02-06
J038,Associate ML Engineer,Meesho,Gurugram,880000,1180000,Python Machine Learning NLP SQL model deployment scikit-learn required for Meesho analytics team in Gurugram.,2026-02-07
J039,Intern BI Developer,Nykaa,Bengaluru,720000,1070000,Power BI DAX SQL Tableau data modeling dashboard required for Nykaa analytics team in Bengaluru.,2026-02-08
J040,Entry Level AI Analyst,Zomato,Hyderabad,860000,1110000,Python NLP Machine Learning SQL automation analytics required for Zomato analytics team in Hyderabad.,2026-02-09
J041,Junior Business Analyst,Swiggy,Mumbai,500000,800000,Excel SQL Tableau Power BI stakeholder reporting required for Swiggy analytics team in Mumbai.,2026-02-10
J042,Associate Data Scientist,Paytm,Delhi,890000,1240000,Python SQL Machine Learning NLP statistics forecasting required for Paytm analytics team in Delhi.,2026-02-11
J043,Intern Data Analyst,InMobi,Noida,530000,780000,Python SQL Excel Power BI dashboard reporting statistics required for InMobi analytics team in Noida.,2026-02-12
J044,Entry Level ML Engineer,Infosys,Gurugram,920000,1220000,Python Machine Learning NLP SQL model deployment scikit-learn required for Infosys analytics team in Gurugram.,2026-02-13
J045,Junior BI Developer,Wipro,Bengaluru,760000,1110000,Power BI DAX SQL Tableau data modeling dashboard required for Wipro analytics team in Bengaluru.,2026-02-14
J046,Associate AI Analyst,Flipkart,Hyderabad,700000,950000,Python NLP Machine Learning SQL automation analytics required for Flipkart analytics team in Hyderabad.,2026-02-15
J047,Intern Business Analyst,Meesho,Mumbai,540000,840000,Excel SQL Tableau Power BI stakeholder reporting required for Meesho analytics team in Mumbai.,2026-02-16
J048,Entry Level Data Scientist,Nykaa,Delhi,930000,1280000,Python SQL Machine Learning NLP statistics forecasting required for Nykaa analytics team in Delhi.,2026-02-17
J049,Junior Data Analyst,Zomato,Noida,570000,820000,Python SQL Excel Power BI dashboard reporting statistics required for Zomato analytics team in Noida.,2026-02-18
J050,Associate ML Engineer,Swiggy,Gurugram,960000,1260000,Python Machine Learning NLP SQL model deployment scikit-learn required for Swiggy analytics team in Gurugram.,2026-02-19
J051,Intern BI Developer,Paytm,Bengaluru,600000,950000,Power BI DAX SQL Tableau data modeling dashboard required for Paytm analytics team in Bengaluru.,2026-02-20
J052,Entry Level AI Analyst,InMobi,Hyderabad,740000,990000,Python NLP Machine Learning SQL automation analytics required for InMobi analytics team in Hyderabad.,2026-02-21
J053,Junior Business Analyst,Infosys,Mumbai,580000,880000,Excel SQL Tableau Power BI stakeholder reporting required for Infosys analytics team in Mumbai.,2026-02-22
J054,Associate Data Scientist,Wipro,Delhi,970000,1320000,Python SQL Machine Learning NLP statistics forecasting required for Wipro analytics team in Delhi.,2026-02-23
J055,Intern Data Analyst,Flipkart,Noida,610000,860000,Python SQL Excel Power BI dashboard reporting statistics required for Flipkart analytics team in Noida.,2026-02-24
J056,Entry Level ML Engineer,Meesho,Gurugram,800000,1100000,Python Machine Learning NLP SQL model deployment scikit-learn required for Meesho analytics team in Gurugram.,2026-02-25
